Refineria,Producto,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018
Madero,    Asfaltos,10.28601918,13.09463562,15.67454521,6.271368852,7.600567123,12.02894247,12.93239726,12.20218754,6.338602129,5.033753115,1.736260011,1.964913784,2.627126019,3.795096186,3.96920509,3.964847863,3.647058797,1.664168458,1.929675282,1.512997126,1.110242296,0.939421507,0.407512978,0.296124205,0.115664485,0
Madero,    Lubricantes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madero,    Otros e,6.216057534,3.596517808,1.624430137,1.222491803,0.768254795,1.261438356,1.026178082,1.530282322,0.283527592,0.745828063,8.599869488,12.1714356,17.78870404,18.71431458,14.8290928,19.65519146,21.24988557,14.50698007,20.6065704,17.98762172,24.73225938,14.1430205,22.3621137,20.09788181,4.272554537,2.491343184
Tula,    Gas Seco a,5.328547945,8.550594521,7.232934247,8.098773224,11.1459589,10.58084384,7.610980822,5.907231694,5.519483425,5.792297729,8.410035036,8.943692374,9.425144225,8.762067121,9.534443329,7.525847702,8.983176518,9.762976636,12.31253095,11.15467502,9.617339685,8.184011386,8.967922953,4.074820913,5.557300266,2.081315899
Tula,    Gas licuado,10.98920548,14.06030137,14.57594521,15.42037432,9.803093151,10.00201918,11.11534795,8.186889262,9.956294918,12.27500012,12.28803825,7.287866396,8.137728444,8.282901929,9.714093984,8.425687893,10.32756023,10.68109978,8.651840685,11.18454031,10.86360385,12.17960083,9.383461337,7.083051604,8.470485293,3.005791652
Tula,            Extra/Pemex Magna b,4.641939726,32.64925479,31.03669315,38.97314208,67.10008767,94.26401918,99.92213699,102.8307134,97.81812545,92.41757065,90.93622906,107.59835,100.8208759,94.06518372,100.0555676,90.68041467,105.7249436,91.14976388,93.81145955,86.91947141,79.47001182,84.21950699,80.00094879,66.75631856,68.15895781,18.70696357
Tula,            Nova/Base c,67.19627945,48.94724932,57.3577863,68.05038251,21.87522466,0,0,0.271959016,0.326286907,1.218624699,0.44176711,0,0,0,0,0,0,0.192369778,0.0871534,0,0,0,0,0,0.339726027,0
Tula,            Pemex Premium,0,0,0,0,0,1.414668493,2.129164384,2.725559809,4.014801589,0.991496855,0.302109184,4.132304249,2.900778384,0.281172186,0.37303529,0.091964115,0.106195222,0.03473789,0.196985403,2.329925932,0.807549332,2.313572918,0.383597447,0.547370208,0.522166153,0.120612841
Tula,            Otras gasolinas,0.273312329,0.378013699,0.424567123,0.267945355,0.189852055,0.192821918,0.159838356,0.143971995,0.063315888,0.123487641,0.059041178,0.020613536,0.105704945,0.101626915,0.098497753,0.056971216,0.053414011,0.065460762,0,0,0,0,0,0,0,0
Tula,            Turbosina,16.25960274,23.17854247,20.32769589,20.12717486,18.24055342,22.01786301,22.44927945,21.2936306,21.61275189,21.08087159,20.73972973,21.75393701,22.47456119,22.92294818,24.18228878,22.68229702,22.2052459,22.13797224,23.0426368,23.87210559,22.43745843,20.71303162,18.85082542,17.95177024,22.87289224,6.314783203
