"","Refineria","Crudo","Producto","pct","cap","value"
"71","Madero","Superligero","Combustoleo",0.0334390817864403,177,0.0591871747619994
"72","Madero","Superligero","Diesel",0.0396597576375353,177,0.0701977710184375
"73","Madero","Superligero","Gas licuado",0.00196051203217597,177,0.00347010629695146
"74","Madero","Superligero","Gas seco",0.0118259251531177,177,0.0209318875210183
"75","Madero","Superligero","Magna",0.0421807944221608,177,0.0746600061272247
"76","Madero","Superligero","Otras gasolinas",0.000204875855483695,177,0.000362630264206141
"77","Madero","Superligero","Otro",0.0268297550035542,177,0.047488666356291
"78","Madero","Superligero","Otros querosenos",0.0000827992867564189,177,0.000146554737558861
"79","Madero","Superligero","Pemex Premium",0.00324156200527095,177,0.00573756474932957
"80","Madero","Superligero","Turbosina",0.00494181691052542,177,0.00874701593162999
"81","Minatitlan","Ligero","Combustoleo",17.5100078121623,285,49.9035222646625
"82","Minatitlan","Ligero","Diesel",13.0590207198995,285,37.2182090517135
"83","Minatitlan","Ligero","Gas licuado",2.26385564241752,285,6.45198858088994
"84","Minatitlan","Ligero","Gas seco",2.95470820078793,285,8.42091837224561
"85","Minatitlan","Ligero","Magna",11.8938011404132,285,33.8973332501775
"86","Minatitlan","Ligero","Otras gasolinas",0.117206384390338,285,0.334038195512462
"87","Minatitlan","Ligero","Otro",8.68815136347811,285,24.7612313859126
"88","Minatitlan","Ligero","Otros querosenos",0.101533830587301,285,0.289371417173807
"89","Minatitlan","Ligero","Pemex Premium",0.307748466882195,285,0.877083130614255
"90","Minatitlan","Ligero","Turbosina",1.09388838352828,285,3.11758189305559
"91","Minatitlan","Li­quidos","Combustoleo",0.554966717012131,285,1.58165514348457
"92","Minatitlan","Li­quidos","Diesel",0.413895980747768,285,1.17960354513114
"93","Minatitlan","Li­quidos","Gas licuado",0.0717512263352151,285,0.204490995055363
"94","Minatitlan","Li­quidos","Gas seco",0.0936472860269733,285,0.266894765176874
"95","Minatitlan","Li­quidos","Magna",0.376965209981544,285,1.0743508484474
"96","Minatitlan","Li­quidos","Otras gasolinas",0.00371476946531043,285,0.0105870929761347
"97","Minatitlan","Li­quidos","Otro",0.275364516727677,285,0.784788872673878
"98","Minatitlan","Li­quidos","Otros querosenos",0.00321803949096821,285,0.00917141254925939
"99","Minatitlan","Li­quidos","Pemex Premium",0.00975385951641316,285,0.0277984996217775
"100","Minatitlan","Li­quidos","Turbosina",0.0346699813898842,285,0.0988094469611701
"101","Minatitlan","Pesado","Combustoleo",12.1226793946018,285,34.5496362746152
"102","Minatitlan","Pesado","Diesel",9.04113368155338,285,25.7672309924271
"103","Minatitlan","Pesado","Gas licuado",1.56733203337726,285,4.46689629512518
"104","Minatitlan","Pesado","Gas seco",2.04562902581193,285,5.830042723564
"105","Minatitlan","Pesado","Magna",8.23441882808463,285,23.4680936600412
"106","Minatitlan","Pesado","Otras gasolinas",0.0811453333548836,285,0.231264200061418
"107","Minatitlan","Pesado","Otro",6.01505576931044,285,17.1429089425347
"108","Minatitlan","Pesado","Otros querosenos",0.0702947759429733,285,0.200340111437474
"109","Minatitlan","Pesado","Pemex Premium",0.213063068744135,285,0.607229745920785
"110","Minatitlan","Pesado","Turbosina",0.757330225619983,285,2.15839114301695
"111","Minatitlan","Superligero","Combustoleo",0.0072613735859524,285,0.0206949147199643
"112","Minatitlan","Superligero","Diesel",0.00541555601408798,285,0.0154343346401507
"113","Minatitlan","Superligero","Gas licuado",0.000938817488867236,285,0.00267562984327162
"114","Minatitlan","Superligero","Gas seco",0.00122531299320699,285,0.00349214203063993
"115","Minatitlan","Superligero","Magna",0.00493234122817341,285,0.0140571725002942
"116","Minatitlan","Superligero","Otras gasolinas",0.0000486053091949981,285,0.000138525131205745
"117","Minatitlan","Superligero","Otro",0.00360296314532172,285,0.0102684449641669
"118","Minatitlan","Superligero","Otros querosenos",0.0000421059249896556,285,0.000120001886220519
"119","Minatitlan","Superligero","Pemex Premium",0.000127622820761024,285,0.000363725039168917
"120","Minatitlan","Superligero","Turbosina",0.000453633847531191,285,0.00129285646546389
"121","Salamanca","Ligero","Combustoleo",17.1734040215294,220,37.7814888473648
"122","Salamanca","Ligero","Diesel",15.2044934387718,220,33.449885565298
"123","Salamanca","Ligero","Gas licuado",1.28639640471435,220,2.83007209037156
"124","Salamanca","Ligero","Gas seco",2.65025369970133,220,5.83055813934294
"125","Salamanca","Ligero","Magna",18.6203199557413,220,40.9647039026308
"126","Salamanca","Ligero","Otro",10.2799521171069,220,22.6158946576353
"127","Salamanca","Ligero","Otros querosenos",0.107893341223815,220,0.237365350692394
"128","Salamanca","Ligero","Pemex Premium",0.654282868753185,220,1.43942231125701
"129","Salamanca","Ligero","Turbosina",3.78703499581104,220,8.33147699078429
"130","Salamanca","Pesado","Combustoleo",6.07428682628574,220,13.3634310178286
"131","Salamanca","Pesado","Diesel",5.37787698232085,220,11.8313293611059
"132","Salamanca","Pesado","Gas licuado",0.455002440095263,220,1.00100536820958
"133","Salamanca","Pesado","Gas seco",0.937403039853316,220,2.06228668767729
"134","Salamanca","Pesado","Magna",6.58606552705511,220,14.4893441595212
"135","Salamanca","Pesado","Otro",3.6360512826408,220,7.99931282180977
"136","Salamanca","Pesado","Otros querosenos",0.0381622129438149,220,0.0839568684763928
